商品コード(個包装),商品コード(カートン),名称(日本語),名称(英語),シリーズ名,mg,ボックス(1:Box / それ以外),ロング(1:100s / それ以外),備考
49400106,949400106,マールボロKSソフトパック,,マールボロ,12,,,EOT
49401370,949401370,マールボロKSボックス,,マールボロ,12,1,,EOT
49400854,949400854,マールボロメンソール8ボックス,,マールボロ,8,1,,EOT
49401509,949401509,マールボロゴールドボックス,,マールボロ,6,1,,EOT
45162855,945162855,マールボロアイスブラストメガ5ボックス,,マールボロ,5,1,,EOT
02812522,902812522,パーラメントナイトブルー100sボックス,,パーラメント,9,1,1,EOT
02874629,902874629,パーラメントアクアブルー100sボックス,,パーラメント,6,1,1,EOT
02840020,902840020,パーラメントプラチナムブルー100sボックス,,パーラメント,1,1,1,EOT
49400403,,メビウス,,メビウス,10,,,EOT
49400786,,メビウスボックス,,メビウス,10,1,,EOT
45113697,,メビウス100sボックス,,メビウス,10,1,1,EOT
49400762,,メビウスライト,,メビウス,8,,,EOT
49400939,,メビウスライトボックス,,メビウス,8,1,,EOT
49400618,,メビウスライト100ｓボックス,,メビウス,8,1,1,EOT
49401387,,メビウススーパーライト,,メビウス,6,,,EOT
49400281,,メビウススーパーライトボックス,,メビウス,6,1,,EOT
02729400,,ケント6KSボックス,,ケント,6,1,,EOT
02786025,,ケント6 100sボックス,,ケント,6,1,1,EOT
8888075011600,,ケントSシリーズ 3 100sボックス,,ケント,3,1,1,EOT
8888075018258,,ケントSシリーズ スパークミント 5 100sボックス,,ケント,5,1,1,EOT
8888075018692,,ケントSシリーズ スパークメロー 1 100sボックス,,ケント,1,1,1,EOT
8888075020237,,クールブーストダブル 5 ボックス,,クール,8,1,,EOT
8888075020268,,クールブーストダブル 8 ボックス,,クール,8,1,,EOT
02723220,,クールマイルドFK ボックス,,クール,5,1,,EOT
12345678,,ななしの商品,,ななしの商品,5,,,EOT
11111111,,ウコンの力,,ななしの商品,5,,,EOT
22222222,,からだすこやか茶,,ななしの商品,5,,,EOT
